"x0_1","x0_2","z0_1","z0_2","p_12","p_21","r","rinv","time_intervention","omega_1","omega_2","R0_1","R0_2","RC_1","RC_2","As","AsA1","AsA2","S","SA1","SA2","AIGR","AIGR_area1","AIGR_area2","AIGR_year","AIGR_year_area1","AIGR_year_area2","AIG","AIG_area1","AIG_area2","AIG_year","AIG_year_area1","AIG_year_area2"
0.201687018962662,0.225357735083544,836.542749106494,934.722423926062,0.26125116266876,0.174603996010323,0.0113636363636364,88,4,0.252833238912409,0.201900131391722,1.13919493412812,1.37829294701104,0.851168589179899,1.10001541991323,24789.3656470032,11456.9511208448,13332.4145261584,22635.9341097434,10524.3630705174,12111.5710392259,0.0951333188557461,0.0886123030988836,0.100799762720998,0.00396388828565609,0.00369217929578682,0.00419999011337492,2153,933,1221,90,39,51
0.425679111563765,0.301610693052324,1465.7818464224,1038.56512230281,0.116853705140832,0.133544365514012,0.00943396226415094,106,2.5,0.339879789711232,0.384163924376853,1.92828523249645,1.19094035324804,1.27290005317228,0.733424033445517,25069.7117409599,15323.2057247223,9746.50601623765,23676.8852699986,14490.0857218531,9186.79954814549,0.0588264231159729,0.0574958643352028,0.0609250768081846,0.00392176154106486,0.00383305762234685,0.0040616717872123,1393,833,560,93,56,37
0.271593242659549,0.240257429809319,909.463610740693,804.531760370657,0.323160962192551,0.151601503325871,0.00917431192660551,109,2,0.199464628025971,0.164677276302909,1.53351323254382,1.20486312042412,1.22763158604156,1.00644954343485,15104.2730172772,8023.18561070813,7081.08740656907,14650.0957898203,7787.27578667077,6862.82000314948,0.0310016558234753,0.0302942685606644,0.0318043316478392,0.00258347131862294,0.00252452238005536,0.00265036097065326,454,236,218,38,20,18
0.285628984336635,0.320222626081584,1074.78947714301,1204.96142803895,0.37928586195989,0.166157885364431,0.0103092783505155,97,2,0.214258072758757,0.124265164843306,1.16200976597869,1.60665376898138,0.913039792993242,1.40700267353279,22498.0954852213,10454.0529637031,12044.0425215183,22135.4434784171,10284.9668469422,11850.4766314749,0.0163833178746967,0.0164401226836411,0.0163340172773529,0.00136527648955806,0.00137001022363676,0.00136116810644607,363,169,194,30,14,16
0.453769197641996,0.462710061084072,962.940448484469,981.913792416781,0.304229824114696,0.153238699860545,0.00581395348837209,172,3.5,0.105484214719932,0.348814171236858,1.78672626486483,1.88943903377914,1.59825484789609,1.2303759231089,33912.6530340134,17295.7385731704,16616.9144608431,33399.8323431066,17016.1282620815,16383.7040810251,0.0153539899733259,0.0164320758977805,0.0142342890633643,0.000731142379682186,0.000782479804656215,0.000677823288731631,513,280,233,24,13,11
0.36258491153867,0.384814703910078,1423.04830872704,1510.29426803418,0.389960671234713,0.324360230436444,0.010752688172043,93,3.5,0.414033178669296,0.397295870168775,1.3271688004739,1.83150989477477,0.777676883382974,1.10385857740751,36381.3144764192,17453.548156258,18927.7663201612,32299.6002188939,15575.3956381043,16724.2045807896,0.126370426564528,0.12058457851041,0.131758836644632,0.00601763936021561,0.00574212278620999,0.00627423031641102,4082,1878,2204,194,89,105
0.306007228340671,0.283816462928015,1128.2084681247,1046.39402998713,0.124455028306053,0.306169374872651,0.0101010101010101,99,2.5,0.285693001156591,0.135035921084613,1.50103066294313,1.29628528814665,1.07219670801884,1.12124021027333,22714.0756907527,11577.3850746336,11136.6906161191,22112.3403285308,11276.3412919577,10835.9990365731,0.0272126492845927,0.0266969378525775,0.0277493176707692,0.00181417661897285,0.0017797958568385,0.00184995451138461,602,301,301,40,20,20
0.288441037784088,0.314769762138439,1196.37475899082,1305.57912705148,0.144597689557914,0.348007054238941,0.0113636363636364,88,4,0.137528869804332,0.29470426144076,1.31724348723436,1.60133750708076,1.1360844791779,1.12941651973914,44519.3642804027,21611.0561621375,22908.3081182652,42716.4086435066,20744.3286903134,21972.0799531932,0.0422075659951384,0.0417814181776245,0.0426099016145242,0.00175864858313077,0.00174089242406769,0.00177541256727184,1803,867,936,75,36,39
0.216263634050789,0.216787462144487,759.002177197481,760.840612334018,0.301871471367835,0.181740733711375,0.00961538461538462,104,4,0.362308212136012,0.382964281326369,1.27299561219118,1.27901093418457,0.811778847881206,0.789195430966008,11010.4430181189,5417.4278828855,5593.01513523343,7059.41810327463,3537.21965256317,3522.19845071147,0.55968138691368,0.531549752348538,0.587932995116634,0.02332005778807,0.0221479063478557,0.0244972081298597,3951,1880,2071,165,78,86
0.295034363452635,0.349485452195186,660.659770921544,782.590123013761,0.140286571406783,0.332515024596057,0.00613496932515337,163,4,0.252781132114248,0.169020855937409,1.24721929371926,1.80024056553802,0.931945788658173,1.49596236425754,26678.3494444595,11889.762675132,14788.5867693275,25977.2063986176,11591.1226422531,14386.0837563645,0.0269907023520135,0.0257645477574595,0.0279786368395735,0.00112461259800056,0.00107352282322748,0.00116577653498223,701,299,403,29,12,17
0.446226654896485,0.461482022540547,1770.35575040453,1830.87976334021,0.375177034497901,0.16304871148885,0.0108695652173913,92,2,0.366784418569854,0.106764675611036,1.70061986971995,1.91568955346282,1.07685899959638,1.71116157971591,37445.85823746,17946.4215413202,19499.4366961398,37014.8828755358,17724.8674331927,19290.0154423431,0.0116432993553799,0.0124996200373619,0.0108564585872222,0.000970274946281661,0.00104163500311349,0.000904704882268515,431,222,209,36,18,17
0.223063494032574,0.221187091494712,830.797707366219,823.809065260917,0.290619887049356,0.360718040543457,0.0102040816326531,98,3.5,0.311058823895443,0.189253310059721,1.3023872466133,1.26614376693834,0.897268201425343,1.02652186803378,17856.6418089049,8872.37744704443,8984.26436186051,16678.4199774745,8294.04996444565,8384.37001302889,0.0706434921906074,0.0697279959824102,0.0715491262789465,0.00336397581860035,0.00332038076106715,0.0034071012513784,1178,578,600,56,28,29
